sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sample_date,sample_time,dist
502,498,493,518,1013,755,507,494,03/12/2021,17:32:35,16.702353
502,498,493,518,1013,755,507,494,03/12/2021,17:33:06,16.702353
502,498,493,518,1009,755,507,494,03/12/2021,17:33:37,16.702353
502,498,493,518,1013,755,507,494,03/12/2021,17:34:08,16.702353
502,498,493,518,1013,755,507,494,03/12/2021,17:34:39,16.702353
502,498,493,518,1013,755,507,494,03/12/2021,17:36:13,16.702353
502,498,493,518,1013,755,507,494,03/12/2021,17:36:44,16.702353
502,498,493,518,1013,755,507,494,03/12/2021,17:37:15,16.702353
502,498,493,518,1013,755,507,494,03/12/2021,17:37:46,16.702353
502,498,493,518,1013,755,507,494,03/12/2021,17:38:17,16.702353
502,498,493,518,1013,755,507,494,03/12/2021,17:38:48,16.702353
502,498,493,518,1001,763,507,494,03/12/2021,17:39:19,16.768235
502,498,493,522,1021,727,503,494,03/12/2021,17:39:50,16.471765
502,498,493,526,1021,711,503,494,03/12/2021,17:40:21,16.340000
502,498,493,526,1021,715,503,494,03/12/2021,17:40:52,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:41:23,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:41:54,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:42:25,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:42:56,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:43:27,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:43:58,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:44:29,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:45:00,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:45:31,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:46:02,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:46:33,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:47:04,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:47:35,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:48:06,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:48:37,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:49:08,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:49:39,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:50:10,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:50:41,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:51:12,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:51:43,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:52:14,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:52:45,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:53:16,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:53:47,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:54:18,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:54:49,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:55:20,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:55:51,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:56:22,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:56:53,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:57:24,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:57:55,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:58:26,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:58:57,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:59:28,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,17:59:59,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:00:30,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:01:01,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:01:32,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:02:03,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:02:34,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:03:05,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:03:36,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:04:07,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:04:38,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:05:09,16.372941
502,498,493,522,1021,731,507,494,03/12/2021,18:05:40,16.504706
502,498,493,522,1021,735,507,494,03/12/2021,18:06:11,16.537647
502,498,493,522,1021,735,503,494,03/12/2021,18:06:42,16.537647
502,498,493,522,1021,727,503,494,03/12/2021,18:09:10,16.471765
502,498,493,526,1021,719,503,494,03/12/2021,18:09:41,16.405882
502,498,493,526,1021,719,503,494,03/12/2021,18:10:12,16.405882
502,498,493,526,1021,719,503,494,03/12/2021,18:10:43,16.405882
502,498,493,526,1021,719,503,494,03/12/2021,18:11:14,16.405882
502,498,493,522,1021,719,503,494,03/12/2021,18:11:45,16.405882
502,498,493,522,1021,739,507,494,03/12/2021,18:12:16,16.570588
502,498,493,522,1021,739,507,494,03/12/2021,18:12:47,16.570588
502,498,493,522,1021,739,507,494,03/12/2021,18:13:18,16.570588
502,498,493,526,1021,707,503,494,03/12/2021,18:13:49,16.307059
502,498,493,526,1021,703,503,494,03/12/2021,18:14:20,16.274118
502,498,493,526,1021,703,503,494,03/12/2021,18:14:51,16.274118
502,498,493,514,985,775,507,494,03/12/2021,18:15:22,16.867059
502,498,493,526,1021,715,503,494,03/12/2021,18:15:53,16.372941
502,498,493,526,1021,719,503,494,03/12/2021,18:16:24,16.405882
502,498,493,526,1021,715,503,494,03/12/2021,18:16:55,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:17:26,16.372941
502,498,493,526,1021,719,503,494,03/12/2021,18:17:57,16.405882
502,498,493,526,1021,719,503,494,03/12/2021,18:18:28,16.405882
502,498,493,526,1021,715,503,494,03/12/2021,18:18:59,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:19:30,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:20:01,16.372941
502,498,493,526,1021,715,503,494,03/12/2021,18:20:32,16.372941
502,498,493,526,1021,719,503,494,03/12/2021,18:21:03,16.405882
502,498,493,530,1021,699,503,494,03/12/2021,18:21:34,16.241176
502,498,493,506,893,851,515,494,03/12/2021,18:22:05,17.492941
502,498,493,526,1021,711,503,494,03/12/2021,18:22:36,16.340000
502,498,493,526,1021,707,503,494,03/12/2021,18:23:07,16.307059
502,498,493,526,1021,707,503,494,03/12/2021,18:23:38,16.307059
502,498,493,526,1021,707,503,494,03/12/2021,18:24:09,16.307059
502,498,493,526,1021,711,503,494,03/12/2021,18:24:40,16.340000
502,498,493,526,1021,707,503,494,03/12/2021,18:25:11,16.307059
502,498,493,526,1021,711,503,494,03/12/2021,18:25:42,16.340000
502,498,493,526,1021,707,503,494,03/12/2021,18:26:13,16.307059
502,498,493,526,1021,707,503,494,03/12/2021,18:26:44,16.307059
502,498,493,526,1021,707,503,494,03/12/2021,18:27:15,16.307059
502,498,493,526,1021,707,503,494,03/12/2021,18:27:46,16.307059
502,498,493,526,1021,707,503,494,03/12/2021,18:28:17,16.307059
502,498,493,526,1021,707,503,494,03/12/2021,18:28:48,16.307059
502,498,493,526,1021,707,503,494,03/12/2021,18:29:19,16.307059
502,498,493,526,1021,707,503,494,03/12/2021,18:29:50,16.307059
502,498,493,526,1021,707,503,494,03/12/2021,18:30:21,16.307059
502,498,493,526,1021,707,503,494,03/12/2021,18:30:52,16.307059
502,498,493,534,1021,687,503,494,03/12/2021,18:31:23,16.142353
502,498,493,534,1021,683,503,494,03/12/2021,18:31:54,16.109412
502,498,493,534,1021,687,503,494,03/12/2021,18:32:25,16.142353
502,498,493,534,1021,687,503,494,03/12/2021,18:32:56,16.142353
502,498,493,534,1021,687,503,494,03/12/2021,18:33:27,16.142353
502,498,493,534,1021,687,503,494,03/12/2021,18:33:58,16.142353
502,498,493,530,1021,699,503,494,03/12/2021,18:34:29,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:35:00,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:35:31,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:36:02,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:36:33,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:37:04,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:37:35,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:38:06,16.241176
502,498,493,534,1021,687,503,494,03/12/2021,18:38:37,16.142353
502,498,493,530,1021,687,503,494,03/12/2021,18:39:08,16.142353
502,498,493,530,1021,699,503,494,03/12/2021,18:40:40,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:41:11,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:41:42,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:42:13,16.241176
502,498,493,530,1021,703,503,494,03/12/2021,18:42:44,16.274118
502,498,493,526,1021,703,503,494,03/12/2021,18:43:15,16.274118
502,498,493,530,1021,699,503,494,03/12/2021,18:43:46,16.241176
502,498,493,534,1021,678,503,494,03/12/2021,18:44:17,16.068235
502,498,493,534,1021,679,503,494,03/12/2021,18:44:48,16.076471
502,498,493,538,1021,679,503,494,03/12/2021,18:45:19,16.076471
502,498,493,534,1021,679,503,494,03/12/2021,18:45:50,16.076471
502,498,493,534,1021,679,503,494,03/12/2021,18:46:21,16.076471
502,498,493,534,1021,679,503,494,03/12/2021,18:46:52,16.076471
502,498,493,530,1021,695,503,494,03/12/2021,18:47:23,16.208235
502,498,493,530,1021,695,503,494,03/12/2021,18:47:54,16.208235
502,498,493,530,1021,691,503,494,03/12/2021,18:48:25,16.175294
502,498,493,530,1021,691,503,494,03/12/2021,18:48:56,16.175294
502,498,493,530,1021,691,503,494,03/12/2021,18:49:27,16.175294
502,498,493,530,1021,691,503,494,03/12/2021,18:49:58,16.175294
502,498,493,530,1021,691,503,494,03/12/2021,18:50:29,16.175294
502,498,493,531,1021,691,503,494,03/12/2021,18:51:00,16.175294
502,498,493,530,1021,695,503,494,03/12/2021,18:51:31,16.208235
502,498,493,534,1021,687,503,494,03/12/2021,18:52:02,16.142353
502,498,493,534,1021,679,503,494,03/12/2021,18:52:33,16.076471
502,498,493,534,1021,678,503,494,03/12/2021,18:53:04,16.068235
502,498,493,530,1021,699,503,494,03/12/2021,18:53:35,16.241176
502,498,493,530,1021,703,503,494,03/12/2021,18:54:06,16.274118
502,498,493,530,1021,699,503,494,03/12/2021,18:54:37,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:55:08,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:55:39,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:56:10,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:56:41,16.241176
502,498,493,530,1021,703,503,494,03/12/2021,18:57:12,16.274118
502,498,493,530,1021,699,503,494,03/12/2021,18:57:43,16.241176
502,498,493,530,1021,699,503,494,03/12/2021,18:58:14,16.241176
502,498,493,522,1021,727,507,494,03/12/2021,18:58:45,16.471765
502,498,493,522,1021,731,503,494,03/12/2021,18:59:16,16.504706
502,498,493,522,1021,723,507,494,03/12/2021,18:59:47,16.438824
502,498,493,538,1021,666,503,494,03/12/2021,19:00:18,15.969412
502,498,493,538,1021,666,503,494,03/12/2021,19:00:49,15.969412
502,498,493,538,1021,662,503,494,03/12/2021,19:01:20,15.936471
502,498,493,542,1021,662,503,494,03/12/2021,19:01:51,15.936471
502,498,493,542,1021,662,503,494,03/12/2021,19:02:22,15.936471
502,498,493,542,1021,662,499,494,03/12/2021,19:02:53,15.936471
502,498,493,550,1021,642,499,494,03/12/2021,19:03:24,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:03:55,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:04:26,15.771765
502,498,493,550,1021,638,499,494,03/12/2021,19:04:57,15.738824
502,498,493,550,1021,642,499,494,03/12/2021,19:05:28,15.771765
502,498,493,550,1021,638,499,494,03/12/2021,19:05:59,15.738824
502,498,493,550,1021,642,499,494,03/12/2021,19:06:30,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:07:01,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:07:32,15.771765
502,498,493,546,1021,650,499,494,03/12/2021,19:08:03,15.837647
502,498,493,550,1021,642,499,494,03/12/2021,19:08:34,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:09:05,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:09:36,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:10:07,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:10:38,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:11:09,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:12:41,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:13:12,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:13:43,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:14:14,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:14:45,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:15:16,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:15:47,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:16:18,15.771765
502,498,493,550,1021,642,499,494,03/12/2021,19:16:49,15.771765
502,498,493,546,1021,654,499,494,03/12/2021,19:17:20,15.870588
502,498,493,542,1021,654,499,494,03/12/2021,19:17:51,15.870588
502,498,493,542,1021,654,499,494,03/12/2021,19:18:22,15.870588
502,498,493,546,1021,650,499,494,03/12/2021,19:18:53,15.837647
502,498,493,542,1021,654,500,494,03/12/2021,19:19:24,15.870588
502,498,493,542,1021,654,503,494,03/12/2021,19:19:55,15.870588
502,498,493,546,1021,646,499,494,03/12/2021,19:20:26,15.804706
502,498,493,546,1021,646,499,494,03/12/2021,19:20:57,15.804706
502,498,493,546,1021,650,499,494,03/12/2021,19:21:28,15.837647
502,498,493,546,1021,650,499,494,03/12/2021,19:21:59,15.837647
502,498,493,550,1021,646,499,494,03/12/2021,19:22:30,15.804706
502,498,493,550,1021,642,499,494,03/12/2021,19:23:01,15.771765
502,498,493,546,1021,654,499,494,03/12/2021,19:23:32,15.870588
502,498,493,542,1021,654,499,494,03/12/2021,19:24:03,15.870588
502,498,493,546,1021,654,499,494,03/12/2021,19:24:34,15.870588
502,498,493,579,1021,598,499,494,03/12/2021,19:25:05,15.409412
502,498,493,570,1021,610,499,494,03/12/2021,19:25:36,15.508235
502,498,493,570,1021,606,499,494,03/12/2021,19:26:07,15.475294
502,498,493,570,1021,606,499,494,03/12/2021,19:26:38,15.475294
502,498,493,570,1021,606,499,494,03/12/2021,19:27:09,15.475294
502,498,493,570,1021,606,499,494,03/12/2021,19:27:40,15.475294
502,498,493,570,1021,606,499,494,03/12/2021,19:28:11,15.475294
502,498,493,567,1021,614,499,494,03/12/2021,19:28:42,15.541176
502,498,493,562,1021,618,499,494,03/12/2021,19:29:13,15.574118
502,498,493,562,1021,618,499,494,03/12/2021,19:29:44,15.574118
502,498,493,562,1021,618,499,494,03/12/2021,19:30:15,15.574118
502,498,493,562,1021,618,499,494,03/12/2021,19:30:46,15.574118
502,498,493,563,1021,618,499,494,03/12/2021,19:31:17,15.574118
